card_id,title,front_image,back_image,issue date,edition,characters,event_link,notes
ency,Энси,cards/ency_front.png,cards/ency_back.png,2026,обычная,Энси Вайнот,,
rough,Раф Бризблокс,cards/rough_front.png,cards/rough_back.png,2026,обычная,Раф Бризблокс,,
vex,Векс Заноза,cards/vex_front.png,cards/vex_back.png,2026,обычная,Векс Заноза,,
zverey,Зверей,cards/zverey_front.png,cards/zverey_back.png,2026,лимитка,Нокия Риот,https://vk.com/zvereymarket,
dikiyw,Ксива ,cards/dikiyw_front.png,cards/dikiyw_back.png,2025,лимитка,"Лекс ""Ксива"" Томпсон",https://vk.com/dikiy_market,
aivan,Айван Рекитт,cards/aivan_front.png,cards/aivan_back.png,2025,обычная,Айван Рекитт,,
dean,Дин Муншайн,cards/dean_front.png,cards/dean_back.png,2025,обычная,Дин Муншайн,,
kiran,Киран Басманов,cards/kiran_front.png,cards/kiran_back.png,2025,обычная,Киран Басманов,,
ksiva,Ксива ,cards/ksiva_front.png,cards/ksiva_back.png,2025,обычная,"Лекс ""Ксива"" Томпсон",,
malina,Малина Пай,cards/malina_front.png,cards/malina_back.png,2025,обычная,Малина Пай,,
nokia,Нокия Риот,cards/nokia_front.png,cards/nokia_back.png,2025,обычная,Нокия Риот,,
ksivasai,ksivasai,cards/ksivasai_front.png,cards/ksivasai_back.png,2025,лимитка,"Лекс ""Ксива"" Томпсон",https://vk.com/micromarkett,
ficha,Фича Маркет,cards/ficha_front.png,cards/ficha_back.png,2025,лимитка,-,https://vk.com/fichamarket,
dikiys,Мико Киноко,cards/dikiys_front.png,cards/dikiys_back.png,2026,лимитка,Мико Киноко,https://vk.com/dikiy_market,
daiquiri2024,Дайкири Бриз,cards/daiquiri2024_front.png,cards/daiquiri2024_back.png,2024,лимитка,Дайкири Бриз,https://t.me/fixmes/532,
dean2024,Дин Муншайн,cards/dean2024_front.png,cards/dean2024_back.png,2024,лимитка,Дин Муншайн,https://t.me/fixmes/532,
ksiva2024,Подборка Кринжа,cards/ksiva2024_front.png,cards/ksiva2024_back.png,2024,лимитка,"Лекс ""Ксива"" Томпсон",https://t.me/fixmes/532,
nokia2024,Нокия Риот,cards/nokia2024_front.png,cards/nokia2024_back.png,2024,лимитка,Нокия Риот,https://t.me/fixmes/532,
pavel2024,Павел Калашников,cards/pavel2024_front.png,cards/pavel2024_back.png,2024,лимитка,Равер Бакер,https://t.me/fixmes/532,
vanish2024,Ваниш,cards/vanish2024_front.png,cards/vanish2024_back.png,2024,лимитка,Айван Рекитт,https://t.me/fixmes/532,
